tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt3231222	tvMovie	Cocaine Triangle	Cocaine Triangle	0	2000	\N	52	Documentary
tt9712296	short	Khwaabghah	Khwaabghah	0	\N	\N	\N	Short
tt4013654	tvEpisode	Episode #2.43	Episode #2.43	0	\N	\N	\N	Drama,Musical,Romance
tt1867363	tvSeries	TROS muziekfeest op Curaçao	TROS muziekfeest op Curaçao	0	2006	\N	53	Music
tt11773964	tvEpisode	Episode dated 20 December 1986	Episode dated 20 December 1986	0	1986	\N	\N	\N
tt0642245	tvEpisode	Cheese, Cues, and Blood	Cheese, Cues, and Blood	0	1991	\N	23	Comedy
tt0591829	tvEpisode	Episode #1.13	Episode #1.13	0	2004	\N	\N	Comedy,Talk-Show
tt6731834	short	Kate and Me	Kate and Me	0	2016	\N	\N	Short,Thriller
tt8632334	tvEpisode	Quzheng	Quzheng	0	\N	\N	\N	Animation
tt11455884	tvEpisode	Start Your Engines!: James Forgets to Pick Up the Barrow Soccer Team	Start Your Engines!: James Forgets to Pick Up the Barrow Soccer Team	0	2016	\N	1	Animation,Family
tt6645216	tvEpisode	Episode dated 16 March 2017	Episode dated 16 March 2017	0	2017	\N	\N	News,Talk-Show
tt2353837	video	Belladonna's How to... Fuck	Belladonna's How to... Fuck	1	2012	\N	225	Adult
tt8568344	tvEpisode	Episode #1.169	Episode #1.169	0	1986	\N	\N	Comedy,Drama,Romance
tt1557992	tvEpisode	Rancho Mirage	Rancho Mirage	0	2009	\N	\N	News
tt3365008	tvEpisode	2003 Back to School Kids Week Game 2	2003 Back to School Kids Week Game 2	0	2003	\N	\N	Game-Show
tt2095171	tvEpisode	The Only Way Is Letherbridge	The Only Way Is Letherbridge	0	2011	\N	\N	Drama
tt2447920	movie	Point B	Point B	0	2013	\N	94	Comedy,Sci-Fi
tt9701622	tvEpisode	Letzte Chance für den Frieden?	Letzte Chance für den Frieden?	0	2003	\N	\N	\N
tt10725578	tvEpisode	Episode #3.6	Episode #3.6	0	2019	\N	47	Documentary
tt0652783	tvEpisode	Show nº 111	Show nº 111	0	1998	\N	\N	News
tt3456490	short	White Hole	White Hole	0	1991	\N	11	Sci-Fi,Short
tt0231511	movie	Two Loves, Two Worlds	Dyo agapes, dyo kosmoi	0	1958	\N	88	Drama
tt0406667	movie	Contrabando	Contrabando	0	1932	\N	63	Drama
tt9803332	tvEpisode	Episode dated 5 October 2011	Episode dated 5 October 2011	0	2011	\N	\N	Talk-Show
tt8508600	tvEpisode	Episode #1.3	Episode #1.3	0	2018	\N	29	Documentary
tt7987154	tvEpisode	Episode #1.128	Episode #1.128	0	1992	\N	\N	Drama,Fantasy,Romance
tt10405404	tvEpisode	Kogda mertvyye vozvrashchayutsya: Chast 2	Kogda mertvyye vozvrashchayutsya: Chast 2	0	2019	\N	\N	Crime,Drama,Mystery
tt7786638	short	Sladami byrcynowych wspominkow	Sladami byrcynowych wspominkow	0	1962	\N	\N	Documentary,Short
tt2755898	tvEpisode	Episode dated 25 October 2004	Episode dated 25 October 2004	0	2004	\N	\N	\N
tt7763480	tvEpisode	Episode #1.147	Episode #1.147	0	1996	\N	\N	\N
tt3101632	movie	Lascados	Lascados	0	2014	\N	89	Comedy
tt6664224	short	Love Me Please	Love Me Please	0	2011	\N	\N	Short
tt1036304	tvEpisode	Elimination Match 1	Elimination Match 1	0	\N	\N	\N	Sport
tt7577732	tvEpisode	Les 20 pires films d'horreur	Les 20 pires films d'horreur	0	2017	\N	\N	Documentary
tt1355548	video	Better Than Andy: The Crazy Finn Is Here	Better Than Andy: The Crazy Finn Is Here	0	2009	\N	87	Comedy
tt11733620	tvEpisode	Les Cathares	Les Cathares	0	1981	\N	35	Talk-Show
tt0491331	video	El Cable	El Cable	0	2004	\N	\N	Short
tt8134724	video	KFC Commercial	KFC Commercial	0	2018	\N	1	Comedy,Short
tt5608214	short	Controller	Controller	0	2015	\N	\N	Comedy,Short
tt3454828	movie	The Gospel of John	The Gospel of John	0	2014	\N	160	Drama
tt0843043	tvEpisode	Episode #14.139	Episode #14.139	0	2006	\N	\N	Comedy,Music,Talk-Show
tt2250022	tvEpisode	Ne a gyerek elött!/Tanulj, tinó!	Ne a gyerek elött!/Tanulj, tinó!	0	2011	\N	\N	Comedy
tt2871960	videoGame	Your Shape: Fitness Evolved 2012	Your Shape: Fitness Evolved 2012	0	2011	\N	\N	\N
tt4789930	tvEpisode	Impactante sorpresa	Impactante sorpresa	0	2014	\N	\N	Comedy,Drama
tt7538380	tvEpisode	Megyn Kelly/Nathan Fielder/Colton Dunn/Sonny Emory	Megyn Kelly/Nathan Fielder/Colton Dunn/Sonny Emory	0	2017	\N	\N	Comedy,Talk-Show
tt3782322	tvEpisode	Episode #8.2	Episode #8.2	0	2011	\N	\N	Adventure,Comedy,Family
tt2039627	tvEpisode	Episode #1.4605	Episode #1.4605	0	2011	\N	\N	Drama,Family
tt9791718	tvEpisode	Vom Einbrecher brutal verarscht	Vom Einbrecher brutal verarscht	1	2012	\N	\N	Adult
tt1759152	tvEpisode	Episode #1.274	Episode #1.274	0	1989	\N	28	Drama,Romance
tt5068150	tvEpisode	Flight 462: Part 10	Flight 462: Part 10	0	2016	\N	\N	Drama,Horror,Sci-Fi
tt4995884	tvEpisode	Die Konsolen sind Tot, Part 2	Die Konsolen sind Tot, Part 2	0	2013	\N	\N	Comedy
tt6158106	tvEpisode	1994: Day 13, Part 2	1994: Day 13, Part 2	0	1994	\N	\N	Sport
tt0579866	tvEpisode	Real Cowboys Play Fair	Real Cowboys Play Fair	0	1985	\N	\N	Drama,Family
tt6919512	tvEpisode	Episode #1.81	Episode #1.81	0	2010	\N	\N	Crime,Drama,Romance
tt4545268	tvEpisode	Episode #1.143	Episode #1.143	0	2015	\N	\N	Biography,Documentary,Sport
tt4728890	tvSeries	Teleclub	Teleclub	0	1953	1955	60	Music,Talk-Show
tt9322438	tvEpisode	Episode #1.156	Episode #1.156	0	2016	\N	\N	Romance
tt9500300	tvEpisode	Lacknutte als Geburtstagsgeschenk	Lacknutte als Geburtstagsgeschenk	1	2018	\N	\N	Adult
tt9616590	tvEpisode	Episode #1.646	Episode #1.646	0	2007	\N	\N	Drama
tt5944574	short	No Laughing Matter	No Laughing Matter	0	2016	\N	\N	Comedy,Short
tt8815528	tvEpisode	"King Bachelor's Pad: Ep.2 ""Last Wish"""	"King Bachelor's Pad: Ep.2 ""Last Wish"""	0	2012	\N	\N	Comedy
tt9604040	tvEpisode	Episode #1.678	Episode #1.678	0	2016	\N	\N	Romance
tt0280661	movie	Far from China	Far from China	0	2001	\N	89	Drama
tt9064554	tvEpisode	Why Sonic's Future is So Grim (Old Man Sonic 3)	Why Sonic's Future is So Grim (Old Man Sonic 3)	0	2018	\N	\N	Animation,Comedy,Short
tt11373024	tvEpisode	Episode #8.64	Episode #8.64	0	2016	\N	\N	Family
tt12052602	tvEpisode	Episode #1.805	Episode #1.805	0	\N	\N	\N	Comedy
tt8833268	tvEpisode	Episode #1.230	Episode #1.230	0	1970	\N	\N	\N
tt6682812	tvEpisode	Clear Window	Clear Window	0	2017	\N	\N	Comedy
tt7258530	tvEpisode	Episode dated 24 September 2017	Episode dated 24 September 2017	0	2017	\N	\N	News,Talk-Show
tt3176962	tvEpisode	Turn Work Into a Workout	Turn Work Into a Workout	0	2013	\N	\N	Reality-TV
tt1418207	movie	Pamatay: Kaliwa at kanan...!	Pamatay: Kaliwa at kanan...!	0	1964	\N	\N	Action,Sport
tt4655068	tvEpisode	Episode dated 15 May 2015	Episode dated 15 May 2015	0	2015	\N	\N	News,Talk-Show
tt1239559	tvEpisode	Episode #1.58	Episode #1.58	0	2008	\N	30	Comedy,Musical,Romance
tt7955666	movie	Pure Dead Brilliant	Pure Dead Brilliant	0	\N	\N	\N	Fantasy,Horror
tt6785456	tvEpisode	Episode #21.5	Episode #21.5	0	2009	\N	\N	Talk-Show
tt8072498	tvEpisode	Episode #1.67	Episode #1.67	0	1999	\N	\N	Drama,Romance
tt9825924	tvEpisode	The fake spaniard	The fake spaniard	0	2018	\N	\N	\N
tt1125359	video	Mini Van Moms 7	Mini Van Moms 7	1	2007	\N	\N	Adult
tt4101950	tvEpisode	Episode #3.27	Episode #3.27	0	\N	\N	\N	Comedy
tt12121700	tvEpisode	Episode #1.8	Episode #1.8	0	1997	\N	\N	Talk-Show
tt2044185	tvEpisode	Episode dated 28 July 1997	Episode dated 28 July 1997	0	1997	\N	\N	News
tt9405854	tvEpisode	Episode #1.489	Episode #1.489	0	2017	\N	\N	Drama
tt10508678	tvEpisode	QUELLO CHE SALVINI CHIAMA INCUBO!	QUELLO CHE SALVINI CHIAMA INCUBO!	0	2019	\N	\N	Comedy
tt0300679	short	A Yell of a Night	A Yell of a Night	0	1932	\N	42	Short
tt3216360	movie	Galacticos-11 Kids One Goal	Galacticos-11 Kids One Goal	0	2013	\N	103	Documentary,Drama,Family
tt6255422	tvEpisode	Episode #4.13	Episode #4.13	0	2016	\N	\N	Reality-TV
tt0333828	short	Love and Gasoline	Love and Gasoline	0	1920	\N	\N	Comedy,Short
tt7909954	tvEpisode	Episode dated 25 April 2013	Episode dated 25 April 2013	0	2013	\N	\N	\N
tt3642012	tvEpisode	Episode dated 14 April 2014	Episode dated 14 April 2014	0	2014	\N	\N	News,Talk-Show
tt1162885	tvEpisode	Episode #1.5	Episode #1.5	0	2000	\N	\N	\N
tt0346317	tvSeries	Korkeajännitystä - eli sähköä kotiinkuljetettuna	Korkeajännitystä - eli sähköä kotiinkuljetettuna	0	2001	\N	22	Comedy
tt10350492	tvEpisode	Longbow/Horseshoe/Corset	Longbow/Horseshoe/Corset	0	2018	\N	\N	Documentary,History
tt10074832	movie	The Convention	The Convention	0	\N	\N	\N	Horror
tt0119553	movie	Little Shots of Happiness	Little Shots of Happiness	0	1997	\N	83	Comedy
tt7892382	tvEpisode	We're Gonna Crash!	We're Gonna Crash!	0	2016	\N	13	Talk-Show
tt1855786	tvEpisode	Episode #1.244	Episode #1.244	0	\N	\N	\N	Drama
tt1298854	tvEpisode	Episode #1.3	Episode #1.3	0	2008	\N	\N	Comedy,Game-Show
tt4515368	tvShort	Tachenko: Yo no quiero sonar moderno	Tachenko: Yo no quiero sonar moderno	0	2011	\N	3	Music,Short
tt3893022	tvEpisode	Boj o preziti	Boj o preziti	0	2008	\N	\N	Romance
tt0102918	short	Shujinkou	Shujinkou	0	1991	\N	\N	Short
tt11339688	tvEpisode	Episode #1.565	Episode #1.565	0	\N	\N	\N	Drama
tt2275457	short	10:4 (Ten to Four)	10:4 (Ten to Four)	0	2010	\N	6	Biography,Documentary,Drama
tt1956027	tvEpisode	Episode dated 1 November 2003	Episode dated 1 November 2003	0	2003	\N	\N	News
tt6391206	tvEpisode	Episode #1.1	Episode #1.1	0	2017	\N	47	Documentary
tt1841929	tvEpisode	Voile sur la république	Voile sur la république	0	2009	\N	59	Documentary
tt0150535	short	A Festa	A Festa	0	1994	\N	12	Short
tt3493576	tvEpisode	Day 67	Day 67	0	2008	\N	\N	Game-Show,Music,Reality-TV
tt9912038	tvEpisode	Episode #1.302	Episode #1.302	0	2015	\N	\N	Comedy,Drama,Fantasy
tt10391456	tvEpisode	Episode #1.742	Episode #1.742	0	2011	\N	\N	Drama,Romance
tt8678256	tvEpisode	Episode #1.249	Episode #1.249	0	1971	\N	\N	Drama,Romance
tt5851292	tvEpisode	Tom Ridge	Tom Ridge	0	2015	\N	\N	Talk-Show
tt7918808	tvEpisode	Episode dated 21 August 2012	Episode dated 21 August 2012	0	2012	\N	\N	\N
tt6996794	tvEpisode	The Play: Part 1	The Play: Part 1	0	2018	\N	25	Comedy,Drama
tt7305144	short	A Perfect World of Thumbs	A Perfect World of Thumbs	0	2014	\N	\N	Drama,Short
tt0282373	short	Basse Dora Is a Small Town	Basse Dora è un piccolo paese	0	1992	\N	28	Documentary,Short
tt0854929	tvEpisode	The Intruders/Foster Sylvers	The Intruders/Foster Sylvers	0	1973	\N	\N	Music,Talk-Show
tt6150866	tvEpisode	Episode #1.1	Episode #1.1	0	1978	\N	\N	Family
tt6622252	tvEpisode	Episode #1.21	Episode #1.21	0	\N	\N	\N	Comedy,Drama
tt1744645	short	Sanctuary	Sanctuary	0	2010	\N	7	Horror,Short,Thriller
tt5883766	short	One of the Few	One of the Few	0	2014	\N	\N	Documentary,Short
tt1135168	tvEpisode	Party de filles	Party de filles	0	\N	\N	\N	\N
tt9418766	tvEpisode	The New Standard of Justice, Time, Climate Models, Fentanyl	The New Standard of Justice, Time, Climate Models, Fentanyl	0	2018	\N	\N	News
tt9699844	tvEpisode	Episode #4.3	Episode #4.3	0	2002	\N	\N	Drama
tt2111656	tvEpisode	Hard Times Part Deux	Hard Times Part Deux	0	2010	\N	\N	Comedy
tt9593524	tvEpisode	Episode #1.125	Episode #1.125	0	1999	\N	\N	Comedy,Drama,Family
tt11364580	tvEpisode	Episode #1.77	Episode #1.77	0	\N	\N	\N	Drama,Romance
tt10035928	tvEpisode	Episode #1.669	Episode #1.669	0	2011	\N	\N	Comedy,Family
tt12065928	short	Ask Yourself	Ask Yourself	0	1982	\N	\N	Music,Short
tt6252558	tvEpisode	Episode #1.731	Episode #1.731	0	1966	\N	\N	Crime,Drama,Romance
tt1230097	tvEpisode	Episode #9.84	Episode #9.84	0	2008	\N	\N	Talk-Show
tt6251838	tvEpisode	Episode #1.397	Episode #1.397	0	1964	\N	\N	Crime,Drama,Romance
tt5337046	tvEpisode	The Very Hungry College Student	The Very Hungry College Student	0	2015	\N	\N	Comedy
tt6986806	short	Popped	Popped	0	2017	\N	9	Comedy,Drama,Short
tt9809812	tvEpisode	SCHOCK! Zu krass um wahr zu sein!!!	SCHOCK! Zu krass um wahr zu sein!!!	1	2014	\N	\N	Adult
tt1620764	videoGame	Happily N'Ever After 2: Bo Peep and the Sheep	Happily N'Ever After 2: Bo Peep and the Sheep	0	2008	\N	\N	\N
